SI. No.,Name of Institution,Number of Hostels - Boys,Number of Hostels - Girls,Number of Hostels - Others,Number of Hostels - Total,Intake Capacity - Boys,Intake Capacity - Girls,Intake Capacity - Others,Intake Capacity - Total,Number of Students Residing - Boys,Number of Students Residing - Girls,Number of Students Residing - Others,Number of Students Residing - Total
7958,S.K.P. Institute of Technology (Id: C-16524),1,1,0,2,300,250,NA,550,150,60,NA,210
7959,S.K.R.B.R. College (Id: C-32738),1,0,0,1,350,NA,NA,350,160,NA,NA,160
7960,S.K.R Engineering College (Id: C-16593),1,1,0,2,175,98,NA,273,100,65,NA,165
7961,"S. Krishna Devaraya Engineering College, Gooty, (Id: C-26958)",1,1,0,2,300,200,NA,500,300,200,NA,500
7962,S K Somaiya Vidyavihars College of Arts Science and Commerce Vidyavihar Mumbai 400 077 (Id: C-33637),2,1,0,3,1200,100,NA,1300,1100,90,NA,1190
7963,"S.K.S.S. Arts College, Thiruppanandal - 612 504. (Id: C-35813)",0,1,0,1,NA,40,NA,40,NA,38,NA,38
7964,SKT College of Physical Education (Id: C-7939),1,0,0,1,50,NA,NA,50,20,NA,NA,20
7965,S.K. Women's College (Id: C-9405),0,1,0,1,NA,63,NA,63,NA,63,NA,63
7966,"SLBS Engineering College,Jodhpur (Id: C-25256)",2,1,0,3,204,68,NA,272,204,10,NA,214
7967,S.L.D.A.V College of Education (Id: C-10750),0,1,0,1,NA,60,NA,60,NA,20,NA,20
7968,SLES College of Nursing (Id: C-40288),1,1,0,2,30,480,NA,510,30,480,NA,510
7969,"S L N College of Engineering, RAICHUR (Id: C-1370)",1,1,0,2,175,80,NA,255,135,74,NA,209
7970,S.L.S.M.A.V.M.AYIRA VYSIAR COLLEGE (Id: C-36500),1,0,0,1,25,NA,NA,25,18,NA,NA,18
7971,SLV College of Nursing (Id: C-40296),1,1,0,2,100,300,NA,400,25,250,NA,275
7972,"S.M.B.E.'s Institute of Computer Education, Latur (Id: C-7547)",1,1,0,2,25,25,NA,50,5,12,NA,17
7973,"S.M.B. GOVT. COLLEGE, NATHDWARA (Id: C-39949)",1,0,0,1,40,NA,NA,40,0,NA,NA,0
7974,"SMBS DEGREE COLLEGE, MARALI (Id: C-45097)",1,0,0,1,60,NA,NA,60,20,NA,NA,20
7975,"SMBTs SMBT Dental College and Hospital, Panchwati, Sangamner, Ahmednagar (Id: C-13970)",1,3,0,4,192,452,NA,644,96,363,NA,459
7976,S.M.D. Charing P.O. Charing-- 785661 (Id: C-8504),0,1,0,1,NA,10,NA,10,NA,3,NA,3
7977,"S M IQBAL COLLEGE OF EDUCATION, SRINAGAR (Id: C-46001)",1,1,0,2,200,150,NA,350,80,30,NA,110
7978,"S.M. Krishna College of Education, Davangere-577001 (Id: C-17686)",1,1,0,2,100,100,NA,200,36,15,NA,51
7979,"S.M.Kst.College,Gazhara (Id: C-9622)",0,1,0,1,NA,22,NA,22,NA,0,NA,0
7980,"S M Lingappa College of Education, K R Pet Mandya (Id: C-17594)",0,0,1,1,NA,NA,100,100,NA,NA,0,0
7981,S.M.M. Government Girls College (Id: C-13166),0,1,0,1,NA,50,NA,50,NA,50,NA,50
7982,"SM Patel College of Home Science, Vallabh Vidyanagar (Id: C-1198)",0,1,0,1,NA,60,NA,60,NA,52,NA,52
7983,S.M.R. College of Education (Id: C-15027),1,1,0,2,100,100,NA,200,6,8,NA,14
7984,SMR East Coast College of Engineering and Technology (New) (Id: C-24982),1,1,0,2,20,20,NA,40,10,10,NA,20
7985,"SMS COLLEGE OF ARTS /SCIENCE and COMMERCE COLLEGE, ATHANI (Id: C-10196)",0,1,0,1,NA,32,NA,32,NA,10,NA,10
7986,"S.M. Sidha College of Education, Dhar (Id: C-29666)",2,1,0,3,100,50,NA,150,100,50,NA,150
7987,"S M S MEDICAL COLLEGE, JAIPUR (Id: C-47118)",3,1,0,4,917,400,NA,1317,917,400,NA,1317
7988,"Smt. Ahalyabai A. Patil Arts and Commerce College for Women, Chikkodi- 591201 (Id: C-8668)",0,1,0,1,NA,24,NA,24,NA,24,NA,24
7989,Smt. A.K.D. Sakkaniamma College of Education for Women (Id: C-14739),0,1,0,1,NA,100,NA,100,NA,6,NA,6
7990,"Smt. Allamma Sumangalam Memorial Degree College for Women, Gandhi Nagar Bellary- 583104 (Id: C-8690)",0,2,0,2,NA,530,NA,530,NA,530,NA,530
7991,SMT A S CHAUDHRAY ARTS and HOME SCIENCE COLLEGE (Id: C-6842),0,1,0,1,NA,50,NA,50,NA,6,NA,6
7992,Smt. B. C. J. College of Education (Id: C-5968),1,1,0,2,100,100,NA,200,4,21,NA,25
7993,"Smt. B.E. Hanumanthamma Memorial Institue of Management, Siruguppa-583121. (Id: C-8560)",1,1,0,2,150,100,NA,250,110,70,NA,180
7994,"SMT BHAGWATI DEVI JAIN GIRLS COLLEGE, AGRA (Id: C-15214)",0,1,0,1,NA,48,NA,48,NA,48,NA,48
7995,SMT C C MAHILA ARTS and SHETH C N COMME COLLEGE (Id: C-6694),0,1,0,1,NA,99,NA,99,NA,83,NA,83
7996,Smt. Champaben Bhagat Education Trust B.Sc. (Fire and Safety) College (Id: C-5934),1,0,0,1,200,NA,NA,200,98,NA,NA,98
7997,Smt. Chandaben Mohanbhai Patel Institute of Computer Applications (Id: C-16180),0,3,0,3,NA,675,NA,675,NA,675,NA,675
7998,"SMT. CHANDRAVAL GUPTA ,MAHILA TEACHERS TRAINING COLLEGE, ABU ROAD (Id: C-39952)",0,1,0,1,NA,120,NA,120,NA,49,NA,49
7999,"Smt. C.M. Patel Homoeopathy College, Vile Parle, Mumbai (Id: C-13963)",0,1,0,1,NA,99,NA,99,NA,99,NA,99
8000,SMT. C.Z.M. GOSRANI B.C.A. COLLEGE-JAMNAGAR (Id: C-959),1,1,0,2,100,80,NA,180,80,75,NA,155
8001,Smt. Gangabai Khivraj Ghodawat Kanya Mahavidyalaya JAYSINGPUR (Id: C-11249),0,1,0,1,NA,98,NA,98,NA,98,NA,98
8002,"SMT. GOMTI SAMARAK VIGYAN MAHAVIDHALAYA,PARSON,ETAH (Id: C-15176)",1,1,0,2,50,50,NA,100,42,10,NA,52
8003,Smt. Indira Devi Education College (Id: C-10611),0,1,0,1,NA,25,NA,25,NA,13,NA,13
8004,"SMT. J.A. PATEL MAHILA COLLEGE, MORBI (Id: C-823)",0,1,0,1,NA,300,NA,300,NA,98,NA,98
8005,"Smt. Jawala Devi College of Education, Sanghol, (Id: C-22208)",1,1,0,2,106,78,NA,184,33,11,NA,44
8006,"Smt. Kamala and Vekappa M Agadi College of Engg. and Technology, Lakshmeshwara (Id: C-1324)",1,1,0,2,300,325,NA,625,287,325,NA,612
8007,SMT.KASHIBAI NAVALE COLLEGE OF EDUCATION KAMLAPUR TAL.SANGOLA DIST-SOLAPUR (Id: C-15705),1,1,0,2,160,160,NA,320,5,4,NA,9
8008,"Smt. Kasturbai Walchand College of Arts and Science, Woodhouse Road, Rajnemi Campus (Id: C-11174)",0,1,0,1,NA,12,NA,12,NA,12,NA,12
8009,"Smt. K.B. Abad Homoeopathy College, Chandwad, Dist. Nashik (Id: C-13986)",2,1,0,3,490,560,NA,1050,450,518,NA,968
8010,SMT K B DAVE COLLEGE OF EDUCATION (BED) (Id: C-6786),0,1,0,1,NA,100,NA,100,NA,0,NA,0
8011,SMT K B DAVE COLLEGE OF EDUCATION (MED) (Id: C-6830),0,1,0,1,NA,100,NA,100,NA,0,NA,0
8012,Smt. K. C. M. Shah B. Ed. College (Id: C-6015),1,1,0,2,300,300,NA,600,4,6,NA,10
8013,"Smt. Kesharbai Sonajirao Kshirsagar Alias Kaku Arts,Science and Commerce College (Id: C-34577)",0,1,0,1,NA,100,NA,100,NA,96,NA,96
8014,"Smt. K.S. Jiglur Arts and Dr. (Smt) S.M. Sheshgiri Commerce College for Women Near R.N. Stadium, Dharwad- 586 008 (Id: C-8679)",0,1,0,1,NA,24,NA,24,NA,16,NA,16
8015,SMT. K.S.N.KANSAGARA MAHILA ARTS and COMM. COLLEGE-RAJKOT (Id: C-1006),0,1,0,1,NA,450,NA,450,NA,450,NA,450
8016,Smt. Lakshmi Devi College of Nursing (Id: C-44904),1,1,0,2,200,500,NA,700,40,260,NA,300
8017,"Smt. Laxmibai Radhakisan Toshniwal Commerce College, Akola. (Id: C-42821)",0,1,0,1,NA,81,NA,81,NA,0,NA,0
8018,"SMT LAXMI DEVI MAHILLA EDUCATIONAL INSTITUTE SHAMSABAD,AGRA (Id: C-15127)",0,1,0,1,NA,26,NA,26,NA,25,NA,25
8019,"Smt. LP Patel Institute of Medical Laboratory Technology, Karamsad (Id: C-1194)",1,1,0,2,291,87,NA,378,6,6,NA,12
8020,"Smt. Mahadevi Mahila TT College, Alwar (Id: C-38325)",0,1,0,1,NA,120,NA,120,NA,40,NA,40
8021,Smt. Mankaranabai Vinayakrao Marathe Women's College of Education (Id: C-44216),0,1,0,1,NA,30,NA,30,NA,14,NA,14
8022,"SMT. MANORAMA MAHAVIDYALAYA, FAFOOND ROAD, (Id: C-12033)",0,1,0,1,NA,30,NA,30,NA,0,NA,0
8023,SMT M C DESAI ARTS and COMMERCE COLLEGE PRANTIJ (Id: C-6879),0,1,0,1,NA,48,NA,48,NA,0,NA,0
8024,"SMT. MINAXIBEN SHANTIBHAI DAVE COLLEGE OF EDUCATION, JAMNAGAR (Id: C-770)",1,1,0,2,30,30,NA,60,7,6,NA,13
8025,Smt. M. K. Sanghvi Homeopathic Medical College (Id: C-6062),1,1,0,2,120,168,NA,288,64,116,NA,180
8026,SMT. M V PATEL BED COLLEGE RANASAN (Id: C-22059),0,1,0,1,NA,100,NA,100,NA,0,NA,0
8027,Smt. Nagarathanamma College of Nursing (Id: C-40575),3,6,0,9,853,372,NA,1225,19,64,NA,83
8028,Smt. Narayani D.R. Karigowda College of Nursing (Id: C-40299),1,1,0,2,100,600,NA,700,8,200,NA,208
8029,Smt. N.C. Gandhi and B.V. Gandhi Mahila Arts and Commerce College (Id: C-44272),0,1,0,1,NA,100,NA,100,NA,50,NA,50
8030,Smt. N. H. L. Municipal Medical College (Id: C-6108),1,1,0,2,220,90,NA,310,218,90,NA,308
8031,"Smt. NPS. Govt Degree College for Women, CHITTOOR Urban (Id: C-27724)",0,1,0,1,NA,150,NA,150,NA,370,NA,370
8032,"Smt. Pana Devi Morijawala Govt. Girls College, Jaipur (Id: C-39017)",0,1,0,1,NA,20,NA,20,NA,0,NA,0
8033,"Smt. Radhadevi Goenka Mahila Mahavidyalaya, Akola. (Id: C-42998)",0,1,0,1,NA,80,NA,80,NA,40,NA,40
8034,"SMT. RAMA DEVI MAHILA MAHAVIDYALAYA, JHINJHAK, (Id: C-12537)",0,1,0,1,NA,100,NA,100,NA,53,NA,53
8035,SMT R M PRAJAPATI ARTS COLLEGE SATLASANA (Id: C-6771),0,1,0,1,NA,48,NA,48,NA,0,NA,0
8036,"SMT. R. O. PATEL WOMEN'S B.ED. COLLEGE, TANKARA (Id: C-15582)",0,1,0,1,NA,100,NA,100,NA,29,NA,29
8037,Smt. R. P. Chauhan Arts and Smt. J. K. Shah and Shri K. D. Shah Commerce College (Id: C-681),0,1,0,1,NA,100,NA,100,NA,0,NA,0
8038,Smt. R. P. Chauhan Arts and Smt. J. K. Shah and Shri K. D. Shah Commerce College and K. R. P. Darji Indoamerican Institute of Computer Science (Id: C-17872),0,1,0,1,NA,100,NA,100,NA,0,NA,0
8039,"SMT RUKHMINIBEN DEEPCHAND BHAI GARDI, NTC, INDORE (Id: C-47955)",1,1,0,2,20,200,NA,220,1,44,NA,45
8040,Smt. Santokben Shantilal Mohanlal Patel B. Ed. College (Id: C-5991),0,0,1,1,NA,NA,200,200,NA,NA,0,0
8041,Smt. Saraswati Gurupadappa Nagamarapalli College of Nursing (Id: C-40490),1,1,0,2,60,100,NA,160,40,80,NA,120
8042,"Smt.Sarojini Ramulamma College of Pharmacy, Mahabubnagar (Id: C-21945)",1,1,0,2,120,80,NA,200,60,34,NA,94
8043,Smt. Savithri College of Education (Id: C-14613),1,1,0,2,100,100,NA,200,24,51,NA,75
8044,SMT S B PATEL INSTITUTE OF BUSINESS MANAGEMENT (Id: C-6657),1,1,0,2,700,225,NA,925,30,20,NA,50
8045,Smt. S. C. P. F. Commerce College (Id: C-5903),1,1,0,2,48,15,NA,63,48,15,NA,63
8046,"Smt. Seeta Devi Chunni Lal Baradia Government Girls College, Pipar City (Id: C-30907)",0,1,0,1,NA,21,NA,21,NA,0,NA,0
8047,SMT. SHANTABEN R.HERMA B.ED. COLLEGE-STAPAR (Id: C-827),0,1,0,1,NA,100,NA,100,NA,20,NA,20
8048,"Smt. Sharadamma V. Kotabal BBM and BCA College, Koppal- 583231 (Id: C-8561)",1,0,0,1,2000,NA,NA,2000,1000,NA,NA,1000
8049,Smt. S. I. Patel Ipcowala College of Commerce (Id: C-5944),1,1,0,2,60,16,NA,76,5,12,NA,17
8050,Smt. S. I. Patel Ipcowala College of Education (Id: C-6044),1,1,0,2,50,21,NA,71,5,12,NA,17
8051,"SMT. S.J.VARMORA B.B.A./B.C.A. MAHILA COLLEGE, WADHWANCITY (Id: C-814)",0,1,0,1,NA,500,NA,500,NA,271,NA,271
8052,Smt. SKR Degree and PG College for (W) (Id: C-24354),0,1,0,1,NA,250,NA,250,NA,200,NA,200
8053,SMT S M PANCHAL SCIENCE COLLEGE TALOD (Id: C-6773),1,1,0,2,60,40,NA,100,0,25,NA,25
8054,"Smt. Surajdevi Ramchandra Mohata Mahila Mahavidyalaya, Khamgaon. (Id: C-42890)",0,1,0,1,NA,40,NA,40,NA,0,NA,0
8055,"Smt. Sushiladevi Deshmukh Mahila Senior college, Latur (Id: C-7259)",0,1,0,1,NA,38,NA,38,NA,30,NA,30
8056,Smt. T. J. Patel English Medium Commerce College (Id: C-5952),1,1,0,2,100,100,NA,200,100,100,NA,200
8057,"Smt. Urmila Devi Institute of B.Sc. (N), VPO Kharkan, Hoshiarpur (Id: C-29216)",1,1,0,2,100,100,NA,200,4,36,NA,40
8058,Smt. Vasantiben Ranchhodbhai Bhakta College Education (Id: C-696),0,1,0,1,NA,20,NA,20,NA,12,NA,12
8059,Smt.V.D.Thacker College of Education (Id: C-4121),1,1,0,2,50,50,NA,100,8,0,NA,8
8060,Smt. Veeramma Gangasiri College for Women Gulbarga (Id: C-8678),0,1,0,1,NA,100,NA,100,NA,80,NA,80
8061,"Smt. VHD Institute of Home Science, Palace Rd, Bangalore-1 (Id: C-21223)",0,1,0,1,NA,100,NA,100,NA,100,NA,100
8062,"SMT VIDYAWATI COLLEGE OF PHARMACY, JHANSI (Id: C-46806)",1,1,0,2,100,100,NA,200,0,5,NA,5
8063,"Smt. Vijaya Luke College of Nursing, Visakhapatnam (Id: C-30478)",1,1,0,2,30,150,NA,180,30,20,NA,50
8064,"Snatak Adhyapan Mandir, (Basic Education) (Id: C-17864)",1,1,0,2,30,30,NA,60,38,20,NA,58
8065,S. N. Bose National Centre for Basic Sciences 138-WBUT (Id: C-6340),1,0,1,2,32,NA,122,154,32,NA,122,154
8066,S.N.B.T. Degree College for Women (Id: C-32737),0,1,0,1,NA,600,NA,600,NA,600,NA,600
8067,S.N.B.T.M. College of Education (Id: C-32622),0,1,0,1,NA,200,NA,200,NA,150,NA,150
8068,S.N. COLLEGE ALATHUR (Id: C-8173),0,1,0,1,NA,68,NA,68,NA,35,NA,35
8069,"SN College, Chempazhanthy, Thiruvananthapuram (Id: C-43731)",0,1,0,1,NA,65,NA,65,NA,60,NA,60
8070,"S.N. COLLEGE, NATTIKA (Id: C-8024)",0,1,0,1,NA,100,NA,100,NA,68,NA,68
8071,"S.N. DEGREE COLLEGE, CHHIWLAHA, (Id: C-12179)",1,1,0,2,80,20,NA,100,60,18,NA,78
8072,S.N. Degree College for Women (Id: C-26174),0,1,0,1,NA,100,NA,100,NA,70,NA,70
8073,S.N.D.T. College of Education for Women (Id: C-44322),0,1,0,1,NA,25,NA,25,NA,5,NA,5
8074,"Snehacharya Institute of Hotel Management and Technology, Karuvatta, Alappuzha (Id: C-43648)",0,0,1,1,NA,NA,135,135,NA,NA,130,130
8075,"SNEHA COLLEGE OF ARCHITECTURE, GOVINDAPURAM (Id: C-43273)",0,1,0,1,NA,50,NA,50,NA,0,NA,0
8076,"Sneha Sadan College of Special education, Angamaly, Ernakulam - 683 572 (Id: C-11586)",0,1,0,1,NA,100,NA,100,NA,10,NA,10
8077,"SNES INSTITUTE OF MANAGEMENT, CHETHUKADAVU (Id: C-8145)",1,1,0,2,20,50,NA,70,1,13,NA,14
8078,"S.N.G.M. B.Ed College, Valamangalam South P.O., Thuravoor, Cherthala (Id: C-43710)",1,1,0,2,150,150,NA,300,100,100,NA,200
8079,"S.N.Gurukulam College of Engineering, Kadayiruppu P.O., Kolencherry, Emakulam -682 311 (Id: C-11685)",1,1,0,2,236,420,NA,656,219,236,NA,455
8080,"S N J P S N M T, BCA COLLEGE, NIDASOSI (Id: C-9974)",1,1,0,2,30,30,NA,60,9,22,NA,31
8081,"S.N.M College, Maliankrara P.O. Moothakunnam (via) 683 516 (Id: C-11753)",0,1,0,1,NA,50,NA,50,NA,50,NA,50
8082,"S.N.M Institute of Management and Technology, Maliankara P.O. Moothakunnam, North Paravur- 683 516 (Id: C-11687)",1,1,0,2,60,60,NA,120,38,56,NA,94
8083,"S N M Training College, Moothakunnam, Ernakulam 683 516 (Id: C-11632)",0,1,0,1,NA,50,NA,50,NA,50,NA,50
8084,S N R Sons College (Id: C-41100),1,1,0,2,400,250,NA,650,206,132,NA,338
8085,SNS College of Engineering (Id: C-37036),1,1,0,2,450,500,NA,950,412,298,NA,710
8086,SNS College of Technology (Id: C-36947),1,1,0,2,550,428,NA,978,512,107,NA,619
8087,"S.N.Sinha College, Warsaliganj (Id: C-12932)",1,1,0,2,40,0,NA,40,0,0,NA,0
8088,SNT Global Academy of Management Studies and Technology (Id: C-36964),1,1,0,2,50,20,NA,70,32,9,NA,41
8089,S.N. Vanita Mahavidyalaya College for Women (Pharmacy) (Id: C-25626),0,1,0,1,NA,300,NA,300,NA,200,NA,200
8090,"SOCH KRAL MEMROIAL COLLEGE OF EDUCATION, PULWAMA (Id: C-45996)",1,1,0,2,107,70,NA,177,47,25,NA,72
8091,"Social Science Centre, Pune (Id: C-35441)",1,1,0,2,100,100,NA,200,15,15,NA,30
8092,Society for the Higher Education of Women in India Sophia Shree B.K. Somani Memorial Polytechnic Bhulabhai Desai Road Mumbai 400 026 (Id: C-34114),0,1,0,1,NA,44,NA,44,NA,44,NA,44
8093,Society of the Congregation of Franciscan Brothers College of MMS Mt.Poinsior P B No 8470 Borivli (West) Mumbai 400 103 (Id: C-33850),1,1,0,2,24,12,NA,36,13,7,NA,20
8094,Sofia College of Nursing (Id: C-40522),0,1,0,1,NA,800,NA,800,NA,700,NA,700
8095,SOKA IKEDA COLLEGE OF ARTS AND SCIENCE FOR WOMEN (Id: C-43949),0,1,0,1,NA,100,NA,100,NA,60,NA,60
8096,"Solan College of Business and Computer Education, Chambaghat, Solan (Id: C-11292)",0,1,0,1,NA,30,NA,30,NA,0,NA,0
8097,"Solan Homeopathic Medical College and Hospital, Barog Bye-Pass, Kumarhatti, Distt. Solan (Id: C-11440)",0,2,0,2,NA,120,NA,120,NA,120,NA,120
8098,Sona College of Technology (Id: C-37028),6,6,0,12,492,1121,NA,1613,492,1121,NA,1613
8099,Sonamukhi College (Id: C-44762),1,0,0,1,20,NA,NA,20,22,NA,NA,22
8100,Sonapur College (Id: C-17257),0,1,0,1,NA,20,NA,20,NA,17,NA,17
8101,Sonari College P.O. Sonari-785690 (Id: C-8429),1,1,0,2,30,80,NA,110,30,80,NA,110
8102,Sonepur College (Id: C-40826),1,0,0,1,32,NA,NA,32,25,NA,NA,25
8103,"Sonia College of Education ,Tejashwi Nagar Dharwad. (Id: C-35692)",0,1,0,1,NA,25,NA,25,NA,20,NA,20
8104,Soniya Education Trust's College of Pharmacy (Id: C-40101),0,1,0,1,NA,20,NA,20,NA,14,NA,14
8105,Sonopant Dandekar Arts College S Apte Commerce and M H Mehta Science College Khare Kuran Road Palghar Dist Thane (Id: C-34065),1,1,0,2,170,120,NA,290,140,68,NA,208
8106,Sonubhau Baswant College of Arts and Commerce Near Government Godown Savroli Road Shahapur Dist Thane 421 601 (Id: C-34104),0,1,0,1,NA,72,NA,72,NA,0,NA,0
8107,SOORAJBA COLLEGE OF EDUCATION (Id: C-1079),0,1,0,1,NA,100,NA,100,NA,75,NA,75
8108,Sophia College for Women Bhulabhai Desai Road Mumbai 400 026 (Id: C-33717),0,1,0,1,NA,115,NA,115,NA,115,NA,115
8109,"Sophitorium Engineering College (SEC), Khurda (Id: C-30111)",2,1,0,3,80,50,NA,130,80,50,NA,130
8110,Sorijini Naidu (S.N) Vanitha Maha Vidhyalaya Degree College for Women (Id: C-25822),0,1,0,1,NA,450,NA,450,NA,340,NA,340
8111,"Soukhya College of Education, Bhatkal, Dt: Karwar. (Id: C-35476)",1,1,0,2,50,50,NA,100,20,40,NA,60
8112,"Sou. Mathurabai Bhausaheb Thorat Sevabhavi Trusts S.M.B.T. College of Pharmacy, Nandhills, Damangaon, Tal.Igatpuri, Dist.Nashik (Id: C-41868)",1,1,0,2,150,100,NA,250,66,48,NA,114
8113,SOURASHTRA COLLEGE (Id: C-36508),1,1,0,2,100,120,NA,220,40,120,NA,160
8114,Sourashtra College of Education (Id: C-14427),1,1,0,2,100,50,NA,150,1,1,NA,2
8115,South Calcutta Girls' College (Id: C-11929),0,1,0,1,NA,63,NA,63,NA,59,NA,59
8116,South Campus Anantnag (Id: C-21429),2,0,0,2,72,NA,NA,72,72,NA,NA,72
8117,South East Manipur College (Id: C-9379),1,1,0,2,100,100,NA,200,20,20,NA,40
8118,Sovarani Nursing College (Id: C-16449),0,2,0,2,NA,128,NA,128,NA,123,NA,123
8119,Sowrabha Institute of Nursing Sciences (Id: C-40604),1,1,0,2,50,150,NA,200,30,124,NA,154
8120,S. P. B. Physiotherapy College (Id: C-485),1,1,0,2,32,48,NA,80,0,0,NA,0
8121,"S P COLLEGE, DUMKA (Id: C-45393)",11,2,0,13,775,200,NA,975,2200,490,NA,2690
8122,S.P. COLLEGE OF EDUCATION (Id: C-28257),0,1,0,1,NA,100,NA,100,NA,97,NA,97
8123,"S.P. COLLEGE, SARVADHAM ,OPP. POLICE LINES (Id: C-39896)",1,0,0,1,50,NA,NA,50,5,NA,NA,5
8124,"S. P. College, Srinagar (Id: C-21432)",1,0,0,1,94,NA,NA,94,94,NA,NA,94
8125,"S.P.D.College,Garhwa (Id: C-42765)",0,1,0,1,NA,100,NA,100,NA,0,NA,0
8126,SPECIAL EDUCATION COLLEGE (Id: C-6856),1,0,0,1,25,NA,NA,25,4,NA,NA,4
8127,"SPECTRUM INSTITUTE OF PHARMACEUTICAL SCIENCE AND RESEARCH, GREATER NOIDA (Id: C-46259)",1,0,0,1,50,NA,NA,50,50,NA,NA,50
8128,S P K.Mahavidyalaya Sawantwadi Dist Sindhudurg 416 510 (Id: C-33610),0,1,0,1,NA,30,NA,30,NA,30,NA,30
8129,"S P MAHILA COLLEGE, DUMKA (Id: C-45394)",0,2,0,2,NA,190,NA,190,NA,190,NA,190
8130,"S.P.Mandalis Prin.N.G.Naralkar Institute of Career Development and Research, Shaniwar Peth, Opp. Prabhat Talkies, Pune 411030 (Id: C-42170)",1,1,0,2,10,10,NA,20,0,0,NA,0
8131,"S.P.Mandals Tilak College of Education, Tilak Road, Pune 30 (Id: C-42202)",1,1,0,2,20,6,NA,26,5,6,NA,11
8132,"S.P.M.College, Udantpuri (Id: C-12893)",1,1,0,2,44,50,NA,94,20,0,NA,20
8133,"SPM S P PHYSICAL EDU,COLLEGE (BP.ED) , RAIBAG (Id: C-10069)",1,1,0,2,50,10,NA,60,16,4,NA,20
8134,"S P M'S RTS and COMMER COLLEGE, RAIBAG (Id: C-10149)",0,1,0,1,NA,40,NA,40,NA,0,NA,0
8135,Sponsored Teachers' Training college (Id: C-44641),1,1,0,2,35,30,NA,65,35,30,NA,65
8136,S.Preethi B.Ed College of Education (Id: C-14648),0,1,0,1,NA,50,NA,50,NA,35,NA,35
8137,Springdale College of Management Studies (Id: C-13476),0,1,0,1,NA,50,NA,50,NA,0,NA,0
8138,S.P. School of Mgmt (Id: C-25077),1,0,0,1,50,NA,NA,50,5,NA,NA,5
8139,"S.P.S. Samta College, Dinara (Id: C-40806)",1,0,0,1,50,NA,NA,50,50,NA,NA,50
8140,Spurthy College of Nursing (Id: C-40082),1,1,0,2,200,300,NA,500,100,300,NA,400
8141,"Spurthy College of Science and Management Studies, #328, Marasur Gate, Anekal Main Road, Marasur Post, Anekal Taluk, Bangalore-562 106 (Id: C-20658)",1,1,0,2,200,300,NA,500,30,50,NA,80
8142,"SPVV SANGHA'S G P PORWAL BCA COLLEGE, SINDAGI (Id: C-10176)",0,1,0,1,NA,40,NA,40,NA,5,NA,5
8143,S.R. College (Id: C-21377),1,1,0,2,16,24,NA,40,16,0,NA,16
8144,"S.R. College of Pharmacy, Ananthasagar (V), Hasanparthy (M), Warangal (Id: C-27334)",0,1,0,1,NA,30,NA,30,NA,20,NA,20
8145,S R College of Professional Studies (Id: C-22587),1,0,0,1,60,NA,NA,60,25,NA,NA,25
8146,"S.R.D. Modi College for Woman, Kota (Id: C-19474)",0,1,0,1,NA,300,NA,300,NA,300,NA,300
8147,"SREE ABIRAMI COLLEGE OF NURSING COIMBATORE, COIMBATORE (Id: C-45552)",1,1,0,2,50,300,NA,350,15,158,NA,173
8148,"SREE ABIRAMI HOSPITAL (P) LTD., COIMBATORE, COIMBATORE (Id: C-45558)",1,1,0,2,150,25,NA,175,3,0,NA,3
8149,Sree Amman Arts and Science College (Id: C-41086),1,1,0,2,150,150,NA,300,140,140,NA,280
8150,Sree Arumugham Teacher Training College (Id: C-14517),1,1,0,2,100,100,NA,200,10,20,NA,30
8151,"Sree Ayyappa College for Women, Ayyappanagar, Chunkankadai - 629 807, Nagercoil - 629 807 (Id: C-41178)",0,1,0,1,NA,50,NA,50,NA,100,NA,100
8152,"Sree Ayyappa College, Thiruvanvandoor, Chengannur (Id: C-43733)",0,1,0,1,NA,36,NA,36,NA,25,NA,25
8153,"Sree Buddha College of Engineering for Women, Ayathil, Elavumthitta P. 0., Pathanamthitta, 689 625 (Id: C-11604)",0,1,0,1,NA,300,NA,300,NA,243,NA,243
8154,"Sree Buddha College of Engineering, Pattoor P.O., Nooranad, Alappuzha (Id: C-43606)",1,1,0,2,300,300,NA,600,200,200,NA,400
8155,Sree Chaitanya College Habra (Id: C-43401),1,0,0,1,60,NA,NA,60,60,NA,NA,60
8156,Sree Chaitanya College of Engineering (Id: C-27175),0,1,0,1,NA,300,NA,300,NA,270,NA,270
8157,"SREE CHAITANYA DEGREE COLLEGE, M.M.THOTA, KARIMNAGAR (Id: C-21505)",0,1,0,1,NA,300,NA,300,NA,150,NA,150
8158,Sree Chaitanya Institute of Pharmaceutical Sciences (Id: C-19882),0,1,0,1,NA,100,NA,100,NA,60,NA,60
8159,Sree Chaitanya Institute of Technological Sciences (Id: C-27178),0,1,0,1,NA,300,NA,300,NA,270,NA,270
8160,Sree Chaitanya Mahavidyalaya (Id: C-43379),1,0,0,1,30,NA,NA,30,5,NA,NA,5
8161,Sree Chaitanya PG College (MBA) (Id: C-19659),0,1,0,1,NA,30,NA,30,NA,15,NA,15
8162,Sree Dattaha Group of Institutions (Id: C-19697),1,1,0,2,180,150,NA,330,180,150,NA,330
8163,Sree Datta Institute of Engineering and Sciences (Id: C-19503),1,1,0,2,300,300,NA,600,200,200,NA,400
